date,rank,game,side,price,ds,clv,result
07-30,3,MIA@NYM,N,-148,,,W
07-29,1,ATL@NYM,N,-143,,,W
07-29,2,BAL@DET,N,-141,,,W
07-29,3,MIL@SF,N,-139,,,W
07-29,4,COL@SD,N,-102,,,W
07-29,5,NYY@CWS,N,-134,,,L
07-29,6,CHC@STL,N,-110,,,W
07-29,7,SEA@LAD,N,+125,,,L
07-28,1,BOS@ATH,N,+114,,,W
07-28,2,MIL@SF,N,-147,,,W
07-28,3,NYY@CWS,N,-120,,,W
07-25,1,KC@DET,N,-128,,,W
07-24,1,CHC@PIT,N,-129,,,W
07-24,2,NYY@PHI,N,-133,,,W
07-24,3,ATL@BAL,N,-105,,,W
07-24,4,HOU@CWS,N,+102,,,L
07-24,5,SEA@TEX,N,-128,,,L
07-23,1,SD@ATL,N,-110,,,W
07-23,2,ARI@STL,N,-120,,,L
07-23,3,KC@DET,N,-118,,,W
07-22,1,MIA@HOU,N,-117,,,W
07-22,2,DET@CHC,N,-115,,,L
07-21,1,LAD@PHI,N,-109,,,L
07-21,2,STL@LAA,N,-105,,,L
07-21,3,CIN@SEA,N,-139,,,L
07-20,1,MIN@CLE,N,-140,,,L
07-20,2,PIT@NYY,N,-125,,,L
07-20,3,STL@LAA,N,-110,,,W
07-19,1,LAD@NYY,N,-110,,,L
07-18,1,BAL@HOU,N,-110,,,W
07-18,2,NYM@PHI,N,-110,,,L
07-18,3,SF@SEA,N,-145,,,W
07-18,4,DET@LAA,N,-140,,,L
07-17,1,MIA@MIL,N,-130,,,W
07-17,2,DET@LAA,N,-125,,,L
07-12,1,CLE@MIA,N,-127,,,L
07-12,2,MIL@PIT,N,-145,,,W
07-12,3,COL@SF,N,-105,,,L
07-11,1,MIL@PIT,N,-125,,,L
07-11,2,MIL@PIT,N,-111,,,W
07-11,3,LAA@MIN,N,-115,,,W
07-11,4,CLE@MIA,N,-135,,,W
07-11,5,PHI@DET,N,-140,,,W
07-11,6,ATL@STL,N,-110,,,L
07-10,1,CLE@MIA,N,-135,,,W
07-10,2,SEA@TB,N,-110,,,W
07-10,3,ATL@STL,N,-120,,,W
07-09,1,LAA@TEX,N,-140,,,L
07-09,2,NYY@TB,N,-130,,,L
07-09,3,ATH@DET,N,-105,,,W
07-08,1,BOS@CWS,N,-120,,,W
07-08,2,MIL@STL,N,-125,,,L
07-08,3,COL@LAD,N,+105,,,L
07-07,1,SEA@MIA,N,-135,,,W
07-07,2,BOS@CWS,N,-120,,,W
07-07,3,TOR@SF,N,-135,,,W
07-06,1,NYY@TB,N,-135,,,W
07-05,1,NYM@ATL,N,-105,,,L
07-05,2,PIT@WSH,N,+105,,,W
07-05,3,DET@TEX,N,-120,,,W
07-04,1,TB@HOU,N,-130,,,L
07-04,2,PHI@KC,N,-105,,,W
07-04,3,MIA@ATH,N,+135,,,W
06-27,1,CIN@PIT,N,-140,,,L
06-27,2,PHI@NYM,N,-125,,,W
06-27,3,CHC@MIL,N,-135,,,L
06-26,1,HOU@DET,N,-110,,,W
06-26,2,TEX@TOR,N,-110,,,L
06-26,3,ATH@LAA,N,-120,,,W
06-25,1,PHI@WSH,N,-125,,,L
06-24,1,TEX@MIA,N,-160,,,W
06-24,2,CHC@NYM,N,-140,,,W
06-24,3,LAD@MIN,N,-120,,,W
06-24,4,SEA@PIT,N,-155,,,L
06-24,5,ATL@SD,N,-125,,,W
06-24,6,ATH@SF,N,-125,,,W
06-23,1,PHI@WSH,N,-125,,,W
06-23,2,MIL@CIN,N,-110,,,W
06-23,3,SEA@PIT,N,-110,,,W
06-22,1,KC@TB,N,-130,,,W
06-22,2,NYY@DET,N,-115,,,W
06-22,3,ATL@SD,N,-130,,,W
06-21,1,CWS@DET,N,-135,,,W
06-21,2,STL@KC,N,-105,,,L
06-21,3,BAL@LAD,N,-110,,,L
06-21,4,PIT@COL,N,+125,,,W
06-21,5,NYM@PHI,N,-115,,,L
06-20,1,MIL@ATL,N,-165,,,W
06-20,2,SD@TEX,N,-125,,,W
06-20,3,NYM@PHI,N,-135,,,L
06-20,4,BAL@LAD,N,-124,,,W
06-19,1,MIL@ATL,N,-145,,,W
06-19,2,WSH@TB,N,-130,,,W
06-19,3,TOR@CHC,N,-145,,,L
06-19,4,STL@KC,N,+100,,,L
06-19,5,SD@TEX,N,-130,,,L
06-18,1,STL@KC,N,-110,,,L
06-17,1,BAL@SEA,N,-130,,,W
06-17,2,TB@LAD,N,-140,,,W
06-16,1,MIA@PHI,N,-120,,,L
06-16,2,SD@STL,N,-120,,,W
06-15,1,MIA@PHI,N,-120,,,W
06-15,2,LAA@ARI,N,-110,,,L
06-14,1,HOU@KC,N,-105,,,L
06-14,2,ATL@NYM,N,-120,,,L
06-14,3,NYY@TOR,N,-115,,,W
06-13,1,STL@MIN,N,-110,,,L
06-13,2,TEX@BOS,N,-150,,,W
06-13,3,HOU@KC,N,+105,,,W
06-12,1,MIA@PIT,N,-120,,,W
06-12,2,SEA@WSH,N,-105,,,W
06-11,1,STL@NYM,N,-110,,,L
06-11,2,SEA@BAL,N,-130,,,L
06-11,3,LAD@PIT,N,+100,,,W
06-10,1,WSH@SF,N,-125,,,W
06-10,2,LAD@PIT,N,-125,,,W
06-10,3,ATL@CWS,N,-140,,,W
06-10,4,HOU@LAA,N,-110,,,L
06-09,1,LAD@PIT,N,-120,,,L
06-09,2,STL@NYM,N,-130,,,W
06-09,3,HOU@LAA,N,+100,,,L
06-08,1,PHI@TOR,N,-145,,,W
06-08,2,HOU@LAA,N,+100,,,W
06-07,1,BOS@NYY,N,-115,,,W
06-07,2,PIT@ATL,N,-140,,,L
06-06,1,SEA@DET,N,-125,,,W
06-06,2,SF@CHC,N,-145,,,W
06-05,1,LAA@LAD,N,-125,,,W
06-03,1,NYM@SEA,N,-140,,,L
06-03,2,KC@CIN,N,-135,,,L
06-03,3,COL@LAA,N,-120,,,W
06-02,1,CLE@NYY,N,-120,,,W
05-31,1,TOR@BAL,N,-125,,,W
05-30,1,TOR@BAL,N,-135,,,W
05-30,2,CHC@STL,N,-135,,,W
05-30,3,ARI@SEA,N,-135,,,W
05-30,4,PHI@LAD,N,-110,,,W
05-29,1,LAA@TB,N,-115,,,L
05-27,1,PHI@SD,N,-140,,,W
05-26,1,WSH@CLE,N,-140,,,W
05-26,2,STL@MIL,N,-115,,,W
05-25,1,NYY@KC,N,-105,,,W
05-25,2,PHI@SD,N,-123,,,L
05-24,1,CLE@PHI,N,-130,,,W
05-24,2,COL@ARI,N,-104,,,L
05-23,1,NYM@MIA,N,-145,,,W
05-23,2,STL@CIN,N,+105,,,W
05-21,1,TOR@NYY,N,-120,,,L
05-19,1,CLE@DET,N,-125,,,W
05-19,2,LAD@SD,N,-125,,,L
05-18,1,ATH@LAA,N,-110,,,W
05-18,2,CWS@SEA,N,-140,,,L
05-17,1,TOR@DET,N,-150,,,L
05-16,1,KC@STL,N,-110,,,L
05-16,2,MIA@TB,N,-140,,,W
05-15,1,CHC@CWS,N,-130,,,L
05-14,1,WSH@CIN,N,-130,,,W
05-14,2,DET@NYM,N,-155,,,L
05-14,3,CHC@ATL,N,-150,,,W
05-13,1,MIA@MIN,N,-125,,,L
05-13,2,SF@LAD,N,-150,,,W
05-12,1,DET@NYM,N,-135,,,W
05-11,1,SEA@HOU,N,-125,,,W
05-11,2,SF@LAD,N,-105,,,W
05-10,1,TB@BOS,N,-125,,,L
05-10,2,STL@SD,N,-125,,,W
05-09,1,PIT@SF,N,-165,,,W
05-06,1,MIN@WSH,N,-105,,,W
05-03,1,CIN@PIT,N,-155,,,W
05-02,1,TOR@MIN,N,-135,,,L
04-28,1,CHC@SD,N,-125,,,W
04-23,1,PHI@CHC,N,-115,,,W
04-22,1,SD@COL,N,+135,,,L
04-21,1,LAD@SF,N,-145,,,L
04-21,2,CIN@TB,N,-145,,,L
04-20,1,BAL@KC,N,-115,,,W
04-20,2,STL@MIA,N,-120,,,W
04-19,1,TEX@SEA,N,-160,,,L
04-19,2,ATL@PHI,N,-120,,,L
04-19,3,TOR@ARI,N,-130,,,L
04-19,4,SD@LAA,N,-110,,,W
04-18,1,NYM@CHC,N,-130,,,W
04-18,2,KC@NYY,N,-120,,,W
04-18,3,ATL@PHI,N,-170,,,W
04-16,1,WSH@PIT,N,-125,,,W
04-16,2,KC@DET,N,-140,,,W
04-16,3,SF@CIN,N,-140,,,W
04-15,1,KC@DET,N,-130,,,W
04-15,2,CHC@PHI,N,-120,,,L
04-15,3,NYM@LAD,N,-140,,,W
